Unnamed: 0,Gaia_ID,Ascension,Declination,Distance_50,Distance_16,Distance_84,Binary,Name,Unnamed: 9,"""Common"" Name",Unnamed: 11,Unnamed: 12,New_Distance
102,4.47E+18,271.3644538,2.4952241,0.00511,0.00511,0.00512,y,,16.6586,70 Ophiuchi Binary Star System,1085.457815,18.09096359,0.005114355
82,1.70E+18,226.7026361,70.4616191,0.00516,0.00514,0.00517,n,,16.8216,WISE J150649.97+702736.1,906.8105444,15.11350907,0.00514797
45,5.28E+18,124.3735181,-61.9161302,0.00521,0.0052,0.00522,n,,16.9846,DENIS J081730.0-615520,497.4940724,8.291567873,0.005205193
36,3.32E+18,90.0159764,2.7063741,0.00521,0.00521,0.0053,n,,16.9846,GJ 3379,360.0639056,6.001065093,0.005251596
68,1.13E+18,176.939408,78.6932975,0.00525,0.00525,0.0053,n,,17.115,Gliese 445,707.757632,11.79596053,0.005213259
86,5.99E+18,235.1951775,-51.0281013,0.00533,0.00533,0.00533,n,,17.3758,2MASS J5404343-5101357,940.78071,15.6796785,0.00533
31,3.19E+18,75.4868052,-6.9485874,0.00538,0.00537,0.00548,n,,17.5388,GJ 3323,301.9472208,5.03245368,0.00539756
74,3.74E+18,206.4405658,14.8850527,0.00543,0.00543,0.00544,n,,17.7018,Gliese 526,825.7622632,13.76270439,0.0054317
40,9.39E+17,103.7001292,33.266408,0.00558,0.00549,0.00559,n,,18.1908,Gliese 251,414.8005168,6.913341947,0.005654304
29,4.71E+17,67.8091906,58.96798,0.00552,0.00552,0.00552,y,,17.9952,Stein 2051 Binary Star System,271.2367624,4.520612707,0.00552
120,6.88E+18,313.1361328,-16.9745585,0.00562,0.00552,0.00562,n,,18.3212,LP 816-60,1252.544531,20.87574219,0.005594912
38,2.94E+18,92.6435791,-21.8678231,0.00572,0.00567,0.00576,n,BINARY!,18.6472,Gliese 299,370.5743164,6.176238607,0.005686822
105,2.09E+18,278.9074488,32.9947872,0.00569,0.00569,0.00569,n,,18.5494,LSR J1835+3259,1115.629795,18.59382992,0.00569
33,3.21E+18,82.8675411,-3.6865276,0.0057,0.0057,0.00584,n,?,18.582,Gliese 205,331.4701644,5.52450274,0.005684601
99,5.92E+18,266.6334445,-57.3250618,0.00589,0.00573,0.00589,n,,19.2014,Gliese 693,1066.533778,17.77556297,0.005852374
115,2.26E+18,293.0975981,69.6534511,0.00576,0.00576,0.00577,n,,18.7776,Alsafi,1172.390392,19.53983987,0.005765865
34,3.34E+18,85.5477076,12.4823599,0.00579,0.00579,0.0059,n,,18.8754,Ross 47,342.1908304,5.703180507,0.005830899
6,4.25E+17,12.2811848,57.8157392,0.00589,0.00585,0.00593,y,,19.2014,Eta Cassiopeiae Binary System,49.1247392,0.818745653,0.005977031
80,6.23E+18,224.3715943,-21.4231404,0.00589,0.00588,0.00589,n,Quartet,19.2014,Gliese 570 Quaternary Star System,897.4863772,14.95810629,0.005897352
111,4.29E+18,289.2276515,5.1629763,0.00592,0.00591,0.00599,y,,19.2992,Gliese 752 Binary Star System,1156.910606,19.28184343,0.005873009
113,6.66E+18,290.2041163,-45.5711062,0.00591,0.00591,0.00591,n,,19.2666,Gliese 754,1160.816465,19.34694109,0.00591
141,2.74E+18,357.3066038,2.3969179,0.00591,0.00591,0.00591,n,,19.2666,Gliese 908,1429.226415,23.82044025,0.00591
85,6.00E+18,233.0469274,-41.2801741,0.00592,0.00592,0.00607,n,,19.2992,Gliese 588,932.1877096,15.53646183,0.005876926
92,4.11E+18,258.8341202,-26.6068066,0.00595,0.00595,0.00596,y,,19.397,36 Ophiuchi Triple Star System,1035.336481,17.25560801,0.005943553
43,3.14E+18,116.1658359,3.5504844,0.00599,0.00599,0.00599,n,,19.5274,YZ Canis Minoris,464.6633436,7.74438906,0.00599
118,6.70E+18,302.802269,-36.1082165,0.00601,0.00601,0.00602,n,BINARY!,19.5926,HR 7703 Binary Star System,1211.209076,20.18681793,0.006008177
21,4.85E+18,50.0003436,-43.0665525,0.00604,0.00604,0.00604,n,,19.6904,82 G. Eridani,200.0013744,3.33335624,0.00604
41,9.47E+17,107.5051434,38.5252694,0.00605,0.00605,0.00606,n,BINARY!,19.723,Gliese 268,430.0205736,7.16700956,0.006046693
117,6.43E+18,302.1950399,-66.1870913,0.0061,0.00609,0.0061,n,,19.886,Delta Pavonis,1208.78016,20.14633599,0.006094015
10,2.57E+18,24.2412498,9.5630705,0.00612,0.0061,0.00614,n,,19.9512,SIMP J013656,96.9649992,1.61608332,0.006120709
137,2.82E+18,352.9701238,19.9369928,0.00626,0.00615,0.00626,y,,20.4076,EQ Pegasi Binary Star System,1411.880495,23.53134159,0.00634234
119,6.67E+18,303.4773906,-45.1647305,0.00616,0.00616,0.00624,n,,20.0816,Gliese 784,1213.909562,20.23182604,0.006191025
100,1.64E+18,267.0161229,70.8815738,0.00621,0.00621,0.00628,n,,20.2446,G 240-72,1068.064492,17.80107486,0.006171367
76,6.32E+18,218.5684318,-12.5169239,0.00625,0.00625,0.00626,n,,20.375,Gliese 555,874.2737272,14.57122879,0.006247051
84,6.32E+18,229.8563013,-7.722707,0.0063,0.0063,0.0063,n,,20.538,Gliese 581,919.4252052,15.32375342,0.0063
51,1.02E+18,138.5835616,52.6840802,0.00633,0.00633,0.0064,y,,20.6358,ADS 7251 Binary Star System,554.3342464,9.238904107,0.006272932
50,6.85E+17,135.0956433,21.8320626,0.00636,0.00636,0.00636,n,,20.7336,LHS 2090,540.3825732,9.00637622,0.00636
81,1.27E+18,225.8321423,25.4246445,0.00642,0.00639,0.00645,n,,20.9292,2MASS 1503+2525,903.3285692,15.05547615,0.006405526
24,4.86E+18,54.8985702,-35.4275936,0.00643,0.00642,0.00643,n,,20.9618,LP 944-20,219.5942808,3.65990468,0.006423765
35,3.02E+18,88.7920956,-4.1789271,0.00644,0.00644,0.00644,n,,20.9944,LP 658-2,355.1683824,5.91947304,0.00644
69,3.91E+18,184.7417473,11.1269524,0.00646,0.00646,0.00647,n,,21.0596,GL Virginis,738.9669892,12.31611649,0.00645713
87,1.43E+18,246.3558883,54.3033387,0.00648,0.00648,0.00648,n,,21.1248,Gliese 625,985.4235532,16.42372589,0.00648
53,5.24E+18,145.6921601,-68.8799854,0.0065,0.0065,0.0065,n,,21.19,GJ 1128,582.7686404,9.712810673,0.0065
89,4.34E+18,253.8514203,-8.3265763,0.0065,0.0065,0.0065,y,5 STARS,21.19,V1054 Phiuchi Qunituple Star System,1015.405681,16.92342802,0.0065
136,2.01E+18,348.337734,57.1696664,0.00654,0.00654,0.00654,n,,21.3204,HD 219134,1393.350936,23.2225156,0.00654
72,6.15E+18,189.7008054,-38.3874091,0.00666,0.00666,0.00666,n,,21.7116,GJ 3737,758.8032216,12.64672036,0.00666
62,3.99E+18,165.0156786,22.8317023,0.00675,0.00675,0.00675,n,BINARY!,22.005,Gliese 408,660.0627144,11.00104524,0.00675
77,1.24E+18,222.8466427,19.1011041,0.00675,0.00675,0.00675,y,,22.005,Xi Bootis Binary Star System,891.3865708,14.85644285,0.00675
44,3.10E+18,122.9946826,8.7504015,0.00677,0.00676,0.00677,n,GJ 3522,22.0702,Gliese 299,491.9787304,8.199645507,0.006762007
114,2.02E+18,292.1717533,23.9350048,0.00683,0.00678,0.00689,n,,22.2658,WISE 1928+2356,1168.687013,19.47811689,0.006749443
125,1.78E+18,322.4080799,17.6449778,0.00678,0.00678,0.00678,n,BINARY!,22.1028,Gliese 829 Binary Star System,1289.63232,21.49387199,0.00678
20,5.15E+18,45.4624245,-16.5945328,0.00686,0.00686,0.00686,n,TRIPLET!,22.3636,LTT 1445,181.849698,3.0308283,0.00686
134,2.83E+18,344.1402217,16.5521694,0.00687,0.00687,0.00687,n,,22.3962,Gliese 880,1376.560887,22.94268145,0.00687
121,2.20E+18,313.3324563,62.1509577,0.00704,0.00689,0.00704,n,BINARY!,22.9504,Gliese 809,1253.329825,20.88883042,0.00712505
127,1.95E+18,326.5928819,38.2175171,0.00705,0.00693,0.00705,n,,22.983,LSPM J2146+3813,1306.371528,21.77285879,0.007118534
60,3.86E+18,162.7129641,6.8044895,0.00697,0.00697,0.00697,n,,22.7222,Gliese 402,650.8518564,10.84753094,0.00697
56,3.86E+18,157.2287834,0.8377469,0.00704,0.00704,0.00704,n,,22.9504,Gliese 393,628.9151336,10.48191889,0.00704
79,6.22E+18,224.1569595,-28.1672542,0.00705,0.00705,0.00706,n,,22.983,LHS 3003,896.627838,14.9437973,0.007050951
95,5.98E+18,259.7512527,-34.9977951,0.00724,0.00708,0.00724,n,TRIPLET!,23.6024,Gliese 667 Triple Star System,1039.005011,17.31675018,0.007284395
25,4.78E+18,62.6110003,-53.6129968,0.00711,0.00711,0.00711,n,,23.1786,GJ 1068,250.4440012,4.174066687,0.00711
139,2.64E+18,353.7970694,-2.3927994,0.00718,0.00717,0.00718,n,,23.4068,GJ 1286,1415.188278,23.58647129,0.007182593
16,1.93E+16,39.0283845,6.8933391,0.00723,0.00721,0.00725,y,Not Grav Bound hence only two for 3 star system,23.5698,Gliese 667 Triple Star System,156.113538,2.6018923,0.007226673
37,3.43E+18,91.9102735,24.4976941,0.00724,0.00722,0.00727,n,,23.6024,WISE 0607+2429,367.641094,6.127351567,0.007224974
47,5.75E+18,128.9248121,-8.3218183,0.00723,0.00722,0.00724,n,,23.5698,2MASS J08354256-0819237,515.6992484,8.594987473,0.00722903
130,2.60E+18,335.7805928,-17.6105076,0.00723,0.00723,0.00724,n,,23.5698,GJ 4274,1343.122371,22.38537285,0.007229256
