,Gaia_ID,Ascension,Declination,Distance_50,Binary
0,2341871673090078592,0.005121,-19.4988406,0.03739,NaN
1,2447815253423324544,0.0470872,-4.0541361,0.04433,NaN
2,2447815287783063040,0.0523176,-4.0535721,0.04389,NaN
3,2341870298700544384,0.0679372,-19.5659363,0.04149,NaN
4,2880533208495595136,0.0958265,37.9674706,0.04519,NaN
5,4635422588982399616,0.1169332,-79.0622582,0.0401,NaN
6,2421137424841635840,0.1187405,-12.7546976,0.03307,NaN
7,4922510057156118400,0.1346271,-56.8362469,0.04516,NaN
8,2443091236074493824,0.1458005,-5.5517751,0.02805,NaN
9,2336616832142482176,0.1544287,-24.642053,0.04584,NaN
10,2774087391866252928,0.1651161,18.4897244,0.03357,NaN
11,4703237305087371392,0.1674814,-69.6762659,0.0293,NaN
12,429915991435184000,0.1730716,62.1757063,0.03831,NaN
13,420475344077664384,0.1892536,55.049925,0.03676,NaN
14,2312615691603492224,0.1971898,-35.1688512,0.03873,NaN
15,2772904695310603520,0.2001897,16.9867486,0.03007,NaN
16,2415630761371869056,0.2131887,-16.6346773,0.04042,NaN
17,2877050883371424768,0.223218,35.7524394,0.042,NaN
18,2765222716806496256,0.2335548,9.9097777,0.03895,NaN
19,2444686180769411840,0.2425735,-4.9333058,0.04503,NaN
20,2772198533967672064,0.2593453,15.7650845,0.04133,NaN
21,2442681083877402368,0.2665978,-6.7198907,0.04306,NaN
22,2339837370419833216,0.2676854,-23.4410858,0.03334,NaN
23,4976503362346571776,0.2772586,-50.754343,0.03875,NaN
24,2745889793400449280,0.2909665,7.3031879,0.03932,NaN
25,2767384425386994048,0.30371,13.9727818,0.03609,NaN
26,2767387380324493184,0.3050591,13.9757434,0.03662,NaN
27,2745860763717896448,0.3139716,6.992824,0.02338,NaN
28,2853973199456397312,0.3509219,27.37813,0.0388,NaN
29,2875223323248241920,0.3512065,34.2818247,0.03811,NaN
30,2414870586520243584,0.3590289,-16.9495687,0.03149,NaN
31,4684946035804965632,0.4137766,-76.2306541,0.03455,NaN
32,4634490340560896384,0.4139035,-80.3227878,0.03948,NaN
33,4634490340559664256,0.4158417,-80.3221564,0.03941,NaN
34,2309602862239593216,0.436207,-35.4761949,0.04177,NaN
35,2846749201903437184,0.4565059,21.4631695,0.04348,NaN
36,2442806153325000448,0.4585592,-6.2175205,0.02944,NaN
37,530672591295849728,0.4609765,69.5019588,0.03887,NaN
38,2740345579033456128,0.5165288,4.1359498,0.03926,NaN
39,2740345579033456000,0.516999,4.1361955,0.03921,NaN
40,2738415592529108096,0.5279664,1.2603123,0.02071,NaN
41,4706564427272810752,0.5413575,-68.2825388,0.01696,NaN
42,2853900872207888768,0.5466961,27.0776487,0.01233,NaN
43,4994877094997259264,0.5484242,-43.1684396,0.00833,NaN
44,429335036979069184,0.5741542,60.5055428,0.03822,NaN
45,2861211318861866112,0.5839171,29.5518684,0.03274,NaN
46,2765462891378117504,0.5897397,11.0060476,0.0338,NaN
47,2765462887081597696,0.5910302,11.0057497,0.03385,NaN
48,431635455820288128,0.6036631,63.9627431,0.02627,NaN
49,2741880492969272704,0.614041,4.6687118,0.03796,NaN
50,2741880600344871808,0.6141475,4.6689858,0.03714,NaN
51,4991143187869550208,0.6142792,-46.028922,0.03695,NaN
52,2746883550050748288,0.6233369,8.485255,0.03756,NaN
53,2746883721849014016,0.6300891,8.4956491,0.03753,NaN
54,4901420874379682304,0.6342376,-63.4044498,0.02767,NaN
55,2306695409898775424,0.6445243,-39.1755915,0.03727,NaN
56,2422420894212396672,0.6526255,-11.394869,0.0333,NaN
57,2340577685342719104,0.6617753,-21.8091568,0.02852,NaN
58,2880923878720791680,0.6666559,38.3622502,0.04063,NaN
59,2880923878719382656,0.6668922,38.362597,0.03939,NaN
60,429477698613645824,0.6672226,61.3376536,0.04477,NaN
61,2312821266302222720,0.6678798,-34.2310522,0.01481,NaN
62,2309533661727029632,0.6878678,-35.8843332,0.04041,NaN
63,2739059700184753280,0.6968385,2.1297378,0.04279,NaN
64,2739059700183271424,0.6969894,2.1293284,0.0429,NaN
65,2741877782846365056,0.7107472,4.6289262,0.03767,NaN
66,2314540352350932096,0.7130679,-31.1753338,0.04339,NaN
67,387098667880073856,0.7265013,46.2340346,0.04545,NaN
68,2745204733233732096,0.7806106,6.2752998,0.02916,NaN
69,2740137118500681344,0.7959386,3.8446778,0.0317,NaN
70,540426736901493120,0.8031142,78.0896965,0.04381,NaN
71,2441824633038601088,0.8160758,-7.3476176,0.04364,NaN
72,4923590430409730048,0.8231048,-55.2757971,0.02381,NaN
73,2741901697224268928,0.8290605,4.6865564,0.02867,NaN
74,4685223799931222016,0.8323396,-75.555737,0.04334,NaN
75,2873545812100769408,0.8490715,31.5691483,0.04004,NaN
76,2449551657161654912,0.8554585,-1.4625964,0.04124,NaN
77,384019897884246144,0.871934,40.8440153,0.04187,NaN
78,2414888694102153088,0.8829245,-16.7328877,0.03808,NaN
79,2333120282087272192,0.9242756,-28.3968246,0.04027,NaN
80,2333120453885963392,0.9277039,-28.3787405,0.04044,NaN
81,4617597821869045376,0.9287618,-84.7966028,0.03003,NaN
82,4899996487129314688,0.9313303,-65.7798335,0.03395,NaN
