Unnamed: 0,Gaia_ID,Ascension,Declination,Distance_50,Distance_16,Distance_84,Binary,Name,Unnamed: 9,"""Common"" Name",Unnamed: 11,Unnamed: 12,New_Distance,,,,,,,,,,,
75,5.85E+18,217.3923215,-62.6760751,0.001296202,0.00128,0.0013,n,,4.238,Alpha Centauri Triple Star System,869.569286,14.49282143,,,,,,,,,,,,
101,4.47E+18,269.4485025,4.7394201,0.001836716,0.00183,0.00185,n,,5.9984,Barnards Star,1077.79401,17.9632335,,,,,,,,,,,,
61,3.86E+18,164.1031903,7.0027269,0.002441976,0.00237,0.00241,n,,7.8566,Wolf 359,656.4127612,10.94021269,,,,,,,,,,,,
63,7.63E+17,165.8309597,35.948653,0.002552042,0.0025,0.00255,n,,8.313,Lalande 21185,663.3238388,11.05539731,,,,,,,,,,,,
39,2.95E+18,101.2866255,-16.7209325,0.00267,0.00267,0.00267,n,BINARY!,8.7042,Alpha Canis Majoris (Sirius),405.146502,6.7524417,,,,,,,,,,,,
11,5.14E+18,24.7715543,-17.9482999,0.002715145,0.00271,0.00273,y,,8.8672,Gliese 65 Binary System,99.0862172,1.651436953,,,,,,,,,,,,
110,4.08E+18,282.458789,-23.8370974,0.002957935,0.00298,0.00301,n,,9.7148,Ross 154,1129.835156,18.83058593,,,,,,,,,,,,
140,1.93E+18,355.4800153,44.1703757,0.00318264,0.00316,0.00322,n,,10.3016,Ross 248,1421.920061,23.69866769,,,,,,,,,,,,
22,5.16E+18,53.2282934,-9.4581682,0.00322,0.00322,0.00322,n,,10.4972,Epsilon Eridani,212.9131736,3.548552893,,,,,,,,,,,,
135,6.55E+18,346.5039167,-35.8471642,0.00332875,0.00329,0.00334,n,,10.8558,Lacaille 9352,1386.015667,23.10026111,,,,,,,,,,,,
67,3.80E+18,176.937688,0.79912,0.003318169,0.0033,0.00338,n,,10.9862,Ross 128,707.750752,11.79584587,,,,,,,,,,,,
106,2.15E+18,280.6830708,59.6383579,0.003494657,0.00346,0.00352,y,,11.41,Struve 2398 Binary Star System,1122.732283,18.71220472,,,,,,,,,,,,
122,1.87E+18,316.7484793,38.7638624,0.0035,0.0035,0.0035,y,,11.41,61 Cygni Binary Star System,1266.993917,21.11656529,,,,,,,,,,,,
2,3.85E+17,4.6132263,44.0247867,0.003522634,0.00352,0.00356,y,,11.6056,Groombridge 34 Binary System,18.4529052,0.30754842,,,,,,,,,,,,
46,7.04E+17,127.4500924,26.773286,0.003522314,0.00358,0.00366,n,,11.6708,DX Cancri,509.8003696,8.496672827,,,,,,,,,,,,
9,2.36E+18,18.1332543,-16.9961549,0.003648146,0.00361,0.00372,n,,12.1272,YZ Ceti,72.5330172,1.20888362,,,,,,,,,,,,
128,6.41E+18,330.8724079,-56.7972547,0.00364,0.00364,0.00364,y,,11.8664,Epsilon Indi Triple Star System,1323.489632,22.05816053,,,,,,,,,,,,
14,2.45E+18,26.0090551,-15.9336802,0.00365,0.00365,0.00365,n,,11.899,Tau Ceti,104.0362204,1.733937007,,,,,,,,,,,,
23,4.85E+18,54.0033939,-44.5143623,0.003702613,0.00367,0.00373,n,,11.9642,GJ 1061,216.0135756,3.60022626,,,,,,,,,,,,
42,3.14E+18,111.8546284,5.2093827,0.00375018,0.00373,0.00379,n,ONLY ONE HERE,12.2576,Alpha Canis Minoris,447.4185136,7.456975227,,,,,,,,,,,,
18,3.52E+16,43.2696425,16.8643738,0.00383,0.00383,0.00383,n,,12.4858,Teegardens Star,173.07857,2.884642833,,,,,,,,,,,,
124,6.58E+18,319.2950181,-38.8724564,0.003964223,0.0039,0.00397,n,,12.9422,Lacaille 8760,1277.180072,21.28633454,,,,,,,,,,,,
32,4.81E+18,77.9599374,-45.0438127,0.003947816,0.00393,0.00397,n,,12.877,Kapteyns Star,311.8397496,5.19732916,,,,,,,,,,,,
58,5.39E+18,162.0538877,-39.9396259,0.003988392,0.00397,0.00405,n,,13.1704,DENIS J1048-3956,648.2155508,10.80359251,,,,,,,,,,,,
108,6.44E+18,281.2980439,-63.9605674,0.004009344,0.004,0.00401,n,BINARY!,13.0726,SCR 1845-6357 Binary Star System,1125.192176,18.75320293,,,,,,,,,,,,
,2.31E+18,1.3832842,-37.367744,0.004407206,0.00424,0.00435,n,,14.181,Gliese 1,5.5331368,0.092218947,,,,,,,,,,,,
8,2.55E+18,12.2967403,5.3765566,0.004349982,0.00431,0.0044,n,,14.0506,Van Maanens Star,49.1869612,0.819782687,,,,,,,,,,,,
88,4.33E+18,247.5748142,-12.6678511,0.004312108,0.00431,0.00436,n,,14.1158,Wolf 1061,990.2992568,16.50498761,,,,,,,,,,,,
